Name,Data Type,Statistical Method,Effect Measure,Analysis Model,Events 1,Mean 1,SD 1,Total 1,Events 2,Mean 2,SD 2,Total 2,Effect Estimate,SE,CI Start,CI End,Weight,Q,P(Q),I²(Q),Tau²,Z,P(Z),Qint,P(Qint),I²(Qint),df,Year of study
High-mortality countries,DIC,MH,Risk Ratio,Random,44,,,3316,32,,,2733,0.81519878,,0.51713889,1.28504944,32.79112018,0.26188306,0.87726907,0,0,0.87991271,0.37890661,,,,2,
RIX Madhi 2010-MWI,,,,,30,0,0,814,17,0,0,380,0.82381847,0.29714775,0.46014945,1.47490533,13.32321957,,,,,,,,,,,
RIX Madhi 2010-ZAF,,,,,5,0,0,686,4,0,0,332,0.60495627,0.66748051,0.16351724,2.23812541,8.28749139,,,,,,,,,,,
RIX Zaman 2017-BGD,,,,,9,0,0,1816,11,0,0,2021,0.91054265,0.44830206,0.37818551,2.19227837,11.18040923,,,,,,,,,,,2017
Rotavirus diarrhoea: severe (up to 2 years follow-up),DIC,MH,Risk Ratio,Random,239,,,26765,637,,,22327,0.22290351,,0.13223152,0.37574988,100,91.97146911,-0,88.03976917,0.62288095,5.63390268,0.00000002,79.13750383,-0,97.47275324,11,
Low-mortality countries,DIC,MH,Risk Ratio,Random,34,,,10465,220,,,7680,0.09744817,,0.06805199,0.13954252,38.83023577,2.84321879,0.72414159,0,0,12.71038713,0,,,,5,
RIX Bernstein 1999-USA,,,,,3,0,0,108,19,0,0,107,0.15643275,0.60610218,0.04768838,0.51314818,7.16821966,,,,,,,,,,,1999
RIX Kawamura 2011-JPN,,,,,2,0,0,498,12,0,0,250,0.08366801,0.75981926,0.01887122,0.37095287,5.91420318,,,,,,,,,,,2011
RIX Phua 2005-SGP,,,,,0,0,0,1779,1,0,0,642,0.12041199,1.63234483,0.00491151,2.95205305,2.15921321,,,,,,,,,,,2005
RIX Phua 2009-AS,,,,,2,0,0,5263,51,0,0,5256,0.03916353,0.72057448,0.00953955,0.16078144,6.21505176,,,,,,,,,,,2009
RIX Vesikari 2004b-FIN,,,,,3,0,0,245,10,0,0,123,0.15061224,0.64893884,0.04221653,0.53732621,6.79908636,,,,,,,,,,,2004
RIX Vesikari 2007a-EU,,,,,24,0,0,2572,127,0,0,1302,0.09566378,0.21996325,0.0621605,0.14722467,10.5744616,,,,,,,,,,,2007
Medium-mortality countries,DIC,MH,Risk Ratio,Random,73,,,12120,292,,,11714,0.22610982,,0.1747481,0.2925677,30.50169085,1.34381677,0.51073301,0,0,11.3085971,0,,,,2,
RIX Li 2014-CHN,,,,,21,0,0,1575,75,0,0,1573,0.27964444,0.24429845,0.17324431,0.45139154,10.39943118,,,,,,,,,,,2014
RIX Ruiz-Palac 06-LA/EU,,,,,41,0,0,10159,202,0,0,10010,0.19999337,0.17071146,0.14312178,0.27946374,10.88651749,,,,,,,,,,,2006
RIX Salinas 2005-LA,,,,,11,0,0,386,15,0,0,131,0.24887737,0.3838639,0.1172843,0.52811799,9.21574218,,,,,,,,,,,2005
High-mortality countries,DIC,MH,Risk Ratio,Random,132,,,4180,125,,,2933,0.64986732,,0.50635992,0.83404615,30.66807338,2.1250571,0.34558108,5.8848817,0.00322736,3.38536945,0.00071083,,,,2,
RIX Madhi 2010-MWI,,,,,70,0,0,1030,53,0,0,483,0.6193442,0.17352917,0.44078193,0.87024266,10.87034647,,,,,,,,,,,
RIX Madhi 2010-ZAF,,,,,11,0,0,843,13,0,0,408,0.40952642,0.40520976,0.18508309,0.90614374,9.01852497,,,,,,,,,,,
RIX Zaman 2017-BGD,,,,,51,0,0,2307,59,0,0,2042,0.76511428,0.18876921,0.52850081,1.10766123,10.77920194,,,,,,,,,,,2017
All-cause diarrhoea: severe cases (up to 1 year follow-up),DIC,MH,Risk Ratio,Random,888,,,20590,940,,,15402,0.65638617,,0.54302514,0.79341226,100,22.32212124,0.00045468,77.60069508,0.0425836,4.35223691,0.00001348,5.9072786,0.05214967,66.1434624,5,
Low-mortality countries,DIC,MH,Risk Ratio,Random,116,,,2572,123,,,1302,0.47741152,,0.37376496,0.60979971,16.08408438,0,0,100,0,5.92090317,0,,,,0,
RIX Vesikari 2007a-EU,,,,,116,0,0,2572,123,0,0,1302,0.47741152,0.12487562,0.37376496,0.60979971,16.08408438,,,,,,,,,,,2007
Medium-mortality countries,DIC,MH,Risk Ratio,Random,349,,,14370,466,,,12109,0.64197752,,0.51914353,0.79387513,33.77787873,1.85594157,0.17309412,46.1189935,0.0117256,4.09025807,0.00004309,,,,1,
RIX Ruiz-Palac 06-LA/EU,,,,,233,0,0,10159,388,0,0,10010,0.59170782,0.08167515,0.50417963,0.69443136,18.99792855,,,,,,,,,,,2006
RIX Tregnaghi 2011-LA,,,,,116,0,0,4211,78,0,0,2099,0.74129417,0.14396983,0.55904046,0.98296471,14.77995018,,,,,,,,,,,2011
High-mortality countries,DIC,MH,Risk Ratio,Random,423,,,3648,351,,,1991,0.73019178,,0.56306931,0.94691725,50.13803689,8.10989569,0.01733645,75.33877034,0.03937356,2.37128213,0.01772649,,,,2,
RIX Colgate 2016-BGD,,,,,110,0,0,350,126,0,0,350,0.87301587,0.1063632,0.70873783,1.07537185,17.36157486,,,,,,,,,,,2016
RIX Madhi 2010-MWI,,,,,221,0,0,1182,139,0,0,591,0.79496403,0.09581785,0.65885095,0.95919693,18.07665947,,,,,,,,,,,
RIX Madhi 2010-ZAF,,,,,92,0,0,2116,86,0,0,1050,0.53083923,0.14516371,0.39939207,0.70554803,14.69980255,,,,,,,,,,,
All-cause diarrhoea: severe cases (up to 2 years follow-up),DIC,MH,Risk Ratio,Random,1146,,,17940,1278,,,14410,0.68573938,,0.55395862,0.84886935,100,29.65193938,0.00001727,83.13769654,0.0512454,3.46478391,0.00053066,16.75009315,0.00023055,88.0597679,5,
Low-mortality countries,DIC,MH,Risk Ratio,Random,160,,,4333,163,,,1936,0.48699714,,0.39520074,0.60011581,23.65995176,0.23549443,0.62747941,0,0,6.75169272,0,,,,1,
RIX Phua 2005-SGP,,,,,11,0,0,1779,10,0,0,642,0.39696459,0.43449896,0.16939695,0.9302463,4.93912096,,,,,,,,,,,2005
RIX Vesikari 2007a-EU,,,,,149,0,0,2554,153,0,0,1294,0.49341031,0.10992278,0.39777894,0.61203275,18.7208308,,,,,,,,,,,2007
Medium-mortality countries,DIC,MH,Risk Ratio,Random,623,,,11734,907,,,11583,0.74027564,,0.50426949,1.08673644,41.34860083,12.3392317,0.00044354,91.8957677,0.07060424,1.53531418,0.12470667,,,,1,
RIX Li 2014-CHN,,,,,187,0,0,1575,206,0,0,1573,0.90661427,0.09450563,0.75331951,1.09110335,19.70131792,,,,,,,,,,,2014
RIX Ruiz-Palac 06-LA/EU,,,,,436,0,0,10159,701,0,0,10010,0.61284633,0.05934456,0.54555358,0.68843948,21.64728292,,,,,,,,,,,2006
High-mortality countries,DIC,MH,Risk Ratio,Random,363,,,1873,208,,,891,0.82710554,,0.71536356,0.95630197,34.99144741,0.23691692,0.62644183,0,0,2.56333569,0.01036718,,,,1,
RIX Madhi 2010-MWI,,,,,287,0,0,1030,160,0,0,483,0.84114684,0.08181108,0.71652954,0.98743733,20.46241314,,,,,,,,,,,
RIX Madhi 2010-ZAF,,,,,76,0,0,843,48,0,0,408,0.76631079,0.17422402,0.54463455,1.07821333,14.52903427,,,,,,,,,,,
All-cause diarrhoea: severe episodes (up to 1 year follow-up),INV,IV,Rate Ratio,Random,,,,,,,,,,,,,,,,,,,,,,,,
Medium-mortality countries,INV,IV,Rate Ratio,Random,,,,,,,,,,,,,,,,,,,,,,,,
RIX Ruiz-Palac 06-LA/EU,,,,,0,0,0,9009,0,0,0,8858,0.59989538,0.094,0.49895637,0.72125438,0,,,,,,,,,,,2006
All-cause diarrhoea: severe episodes (up to 2 years follow-up),INV,IV,Rate Ratio,Random,,,,,,,,,,,,,,,,,,,,,,,,
Low-mortality countries,INV,IV,Rate Ratio,Random,0,,,5263,0,,,5256,0.696979,,0.56180749,0.86467293,100,0,1,0,0,3.28181818,0.0010314,,,,0,
RIX Phua 2009-AS,,,,,0,0,0,5263,0,0,0,5256,0.696979,0.11,0.56180749,0.86467293,100,,,,,,,,,,,2009
Medium-mortality countries,INV,IV,Rate Ratio,Random,0,,,14410,0,,,14162,0.61018078,,0.53299805,0.69854025,100,0,1,0,0,7.15942029,0,,,,0,
RIX Ruiz-Palac 06-LA/EU,,,,,0,0,0,14410,0,0,0,14162,0.61018078,0.069,0.53299805,0.69854025,100,,,,,,,,,,,2006
All-cause death,DIC,MH,Risk Ratio,Random,180,,,58358,115,,,47420,1.02333564,,0.80854017,1.29519333,100,9.923714,0.8245109,0,0,0.19190565,0.84781611,2.54887529,0.27958826,21.53401902,15,
Low-mortality countries,DIC,MH,Risk Ratio,Random,5,,,12018,4,,,8343,0.70609191,,0.17296065,2.88253886,2.80498978,2.69336089,0.44135679,0,0,0.48489078,0.62775382,,,,3,
RIX Bernstein 1999-USA,,,,,1,0,0,108,0,0,0,107,2.97247706,1.62733927,0.12244042,72.16260611,0.54559494,,,,,,,,,,,1999
RIX GSK[041] 2007-KOR,,,,,0,0,0,103,0,0,0,52,0,0,0,0,0,,,,,,,,,,,2007
RIX Kawamura 2011-JPN,,,,,0,0,0,507,0,0,0,257,0,0,0,0,0,,,,,,,,,,,2011
RIX Kim 2012-KOR,,,,,0,0,0,508,0,0,0,176,0,0,0,0,0,,,,,,,,,,,2012
RIX Omenaca 2012-EU,,,,,0,0,0,670,1,0,0,339,0.16890214,1.63163574,0.00689897,4.13509983,0.54272537,,,,,,,,,,,2009
RIX Phua 2005-SGP,,,,,3,0,0,1779,0,0,0,642,2.52865169,1.5111576,0.13079446,48.88647102,0.63271339,,,,,,,,,,,2005
RIX Phua 2009-AS,,,,,1,0,0,5263,3,0,0,5256,0.33288999,1.15453587,0.03463842,3.19921512,1.08395607,,,,,,,,,,,2009
RIX Vesikari 2004b-FIN,,,,,0,0,0,267,0,0,0,133,0,0,0,0,0,,,,,,,,,,,2004
RIX Vesikari 2007a-EU,,,,,0,0,0,2613,0,0,0,1331,0,0,0,0,0,,,,,,,,,,,2007
RIX Vesikari 2011-FIN,,,,,0,0,0,200,0,0,0,50,0,0,0,0,0,,,,,,,,,,,2011
Medium-mortality countries,DIC,MH,Risk Ratio,Random,77,,,40821,53,,,36222,1.26664671,,0.88761027,1.80754318,43.89450094,1.56672929,0.81475923,0,0,1.30283584,0.19263081,,,,4,
RIX GSK[021] 2007-PAN,,,,,0,0,0,177,0,0,0,51,0,0,0,0,0,,,,,,,,,,,2007
RIX GSK[033] 2007-LA,,,,,3,0,0,730,0,0,0,124,1.19699042,1.50875654,0.06220636,23.03279123,0.63472881,,,,,,,,,,,2007
RIX Kerdpanich 2010-THA,,,,,0,0,0,395,0,0,0,26,0,0,0,0,0,,,,,,,,,,,2011
RIX Li 2013b-CHN,,,,,0,0,0,25,0,0,0,25,0,0,0,0,0,,,,,,,,,,,2013
RIX Li 2014-CHN,,,,,6,0,0,1666,7,0,0,1667,0.85765735,0.55526902,0.28884707,2.54659372,4.68618736,,,,,,,,,,,2014
RIX NCT00158756-RUS,,,,,0,0,0,161,0,0,0,48,0,0,0,0,0,,,,,,,,,,,
RIX Ruiz-Palac 06-LA/EU,,,,,56,0,0,31673,43,0,0,31552,1.29735032,0.20260723,0.87216303,1.92982022,35.19789212,,,,,,,,,,,2006
RIX Salinas 2005-LA,,,,,2,0,0,1618,1,0,0,537,0.66378245,1.2237319,0.06030916,7.30580781,0.96483707,,,,,,,,,,,2005
RIX Tregnaghi 2011-LA,,,,,10,0,0,4376,2,0,0,2192,2.50457038,0.77415456,0.54925205,11.42075443,2.41085558,,,,,,,,,,,2011
High-mortality countries,DIC,MH,Risk Ratio,Random,98,,,5519,58,,,2855,0.87540611,,0.63396284,1.20880248,53.30050929,3.11929397,0.79373228,0,0,0.80820961,0.41896993,,,,6,
RIX Anh 2011-PHL,,,,,1,0,0,281,0,0,0,64,0.69148936,1.62718651,0.02849193,16.78221092,0.54569738,,,,,,,,,,,2011
RIX Anh 2011-VNM,,,,,0,0,0,279,0,0,0,73,0,0,0,0,0,,,,,,,,,,,2011
RIX Colgate 2016-BGD,,,,,1,0,0,350,1,0,0,350,1,1.41219181,0.06279718,15.92428163,0.72450129,,,,,,,,,,,2016
RIX GSK[101555] 2008-PHL,,,,,0,0,0,100,0,0,0,50,0,0,0,0,0,,,,,,,,,,,2008
RIX Madhi 2010-AF,,,,,83,0,0,3298,43,0,0,1641,0.96043409,0.18544921,0.66774849,1.3814088,42.01231223,,,,,,,,,,,2010
RIX Narang 2009-IND,,,,,0,0,0,182,0,0,0,181,0,0,0,0,0,,,,,,,,,,,2009
RIX Rivera 2011-DOM,,,,,0,0,0,100,0,0,0,100,0,0,0,0,0,,,,,,,,,,,2009
RIX Steele 2008-ZAF,,,,,3,0,0,300,5,0,0,150,0.3,0.72341781,0.07266862,1.23849887,2.7608839,,,,,,,,,,,2008
RIX Steele 2010a-ZAF,,,,,6,0,0,50,9,0,0,50,0.66666667,0.48762463,0.25635507,1.7337065,6.07652485,,,,,,,,,,,
RIX Steele 2010b-ZAF,,,,,3,0,0,379,0,0,0,96,1.78684211,1.50757203,0.09307618,34.30313535,0.63572662,,,,,,,,,,,2007
RIX Zaman 2009-BGD,,,,,1,0,0,200,0,0,0,100,1.50746269,1.62843193,0.06196162,36.67501865,0.54486301,,,,,,,,,,,2009
All serious adverse events,DIC,MH,Risk Ratio,Random,2853,,,57539,2192,,,46175,0.87413677,,0.80696975,0.94689434,100,35.23344341,0.19697639,17.6918371,0.00614746,3.2976746,0.00097489,0.36680678,0.83243234,0,29,
Low-mortality countries,DIC,MH,Risk Ratio,Random,624,,,11548,327,,,7423,0.88855206,,0.72034252,1.09604076,27.73624643,15.50319693,0.11476471,35.4971749,0.03509988,1.10352743,0.2697982,,,,10,
RIX Bernstein 1998-USA,,,,,0,0,0,21,0,0,0,20,0,0,0,0,0,,,,,,,,,,,1998
RIX Dennehy 2005-NA,,,,,15,0,0,421,8,0,0,108,0.48099762,0.42430191,0.20939991,1.1048654,0.89374978,,,,,,,,,,,2005
RIX GSK[041] 2007-KOR,,,,,9,0,0,103,2,0,0,52,2.27184466,0.76300171,0.5092258,10.13553932,0.28283624,,,,,,,,,,,2007
RIX Kawamura 2011-JPN,,,,,72,0,0,508,44,0,0,257,0.82784538,0.17537562,0.58704208,1.16742564,4.50893221,,,,,,,,,,,2011
RIX Kim 2012-KOR,,,,,17,0,0,508,13,0,0,176,0.45305875,0.35790541,0.2246492,0.91370113,1.23952106,,,,,,,,,,,2012
RIX Omenaca 2012-EU,,,,,34,0,0,670,23,0,0,339,0.74795587,0.26162499,0.4478993,1.24902627,2.2306821,,,,,,,,,,,2009
RIX Phua 2005-SGP,,,,,144,0,0,1811,40,0,0,653,1.29806737,0.17280298,0.92513917,1.82132477,4.62109566,,,,,,,,,,,2005
RIX Phua 2009-AS,,,,,10,0,0,4272,11,0,0,4226,0.89930201,0.43639246,0.38233815,2.11525874,0.84643915,,,,,,,,,,,2009
RIX Vesikari 2004a-FIN,,,,,2,0,0,128,1,0,0,64,1,1.21513888,0.09239999,10.82251237,0.11222556,,,,,,,,,,,2004
RIX Vesikari 2004b-FIN,,,,,28,0,0,267,9,0,0,133,1.5497295,0.36818648,0.75310409,3.18901674,1.17422501,,,,,,,,,,,2004
RIX Vesikari 2007a-EU,,,,,290,0,0,2646,176,0,0,1348,0.83943173,0.08950042,0.70437265,1.00038755,11.75310309,,,,,,,,,,,2007
RIX Vesikari 2011-FIN,,,,,3,0,0,193,0,0,0,47,1.73195876,1.50323861,0.09098683,32.9683013,0.07343655,,,,,,,,,,,2011
Medium-mortality countries,DIC,MH,Risk Ratio,Random,1814,,,40822,1635,,,36247,0.84984272,,0.7608997,0.94918247,55.16682817,11.61598981,0.16917735,31.12941615,0.0067678,2.88461902,0.00391888,,,,8,
RIX GSK[021] 2007-PAN,,,,,18,0,0,177,9,0,0,51,0.57627119,0.37604402,0.27576405,1.20424862,1.12768922,,,,,,,,,,,2007
RIX GSK[033] 2007-LA,,,,,3,0,0,730,0,0,0,124,1.19699042,1.50875654,0.06220636,23.03279123,0.07290182,,,,,,,,,,,2007
RIX Kerdpanich 2010-THA,,,,,11,0,0,396,4,0,0,51,0.35416667,0.56460251,0.11711625,1.07102156,0.51211431,,,,,,,,,,,2011
RIX Li 2013b-CHN,,,,,2,0,0,25,0,0,0,25,5,1.52416434,0.25211516,99.16103229,0.07143921,,,,,,,,,,,2013
RIX Li 2014-CHN,,,,,183,0,0,1666,246,0,0,1667,0.74434896,0.09126555,0.62243099,0.89014748,11.49405985,,,,,,,,,,,2014
RIX NCT00158756-RUS,,,,,8,0,0,161,0,0,0,48,5.14197531,1.44605189,0.30216794,87.50071131,0.0793424,,,,,,,,,,,
RIX Ruiz-Palac 06-LA/EU,,,,,928,0,0,31673,1047,0,0,31552,0.88295585,0.04437826,0.80940176,0.96319413,20.50020203,,,,,,,,,,,2006
RIX Salinas 2005-LA,,,,,156,0,0,1618,64,0,0,537,0.80898486,0.13983924,0.61504801,1.06407384,6.47400489,,,,,,,,,,,2005
RIX Tregnaghi 2011-LA,,,,,505,0,0,4376,265,0,0,2192,0.95457211,0.07119733,0.83024347,1.09751892,14.83507442,,,,,,,,,,,2011
High-mortality countries,DIC,MH,Risk Ratio,Random,415,,,5169,230,,,2505,0.89721783,,0.76989809,1.04559273,17.0969254,8.00427812,0.53371526,0,0,1.38898523,0.16483724,,,,9,
RIX Anh 2011-PHL,,,,,1,0,0,281,1,0,0,64,0.22775801,1.40741475,0.0144371,3.5930831,0.08374484,,,,,,,,,,,2011
RIX Anh 2011-VNM,,,,,15,0,0,279,1,0,0,73,3.92473118,1.02439436,0.52704034,29.22644395,0.15764379,,,,,,,,,,,2011
RIX GSK[101555] 2008-PHL,,,,,5,0,0,100,0,0,0,50,5.55445545,1.4670751,0.31323112,98.49588267,0.07709117,,,,,,,,,,,2008
RIX Madhi 2010-AF,,,,,319,0,0,3298,189,0,0,1641,0.83982115,0.08667873,0.70860749,0.9953318,12.18080775,,,,,,,,,,,2010
RIX Narang 2009-IND,,,,,3,0,0,182,2,0,0,181,1.49175824,0.90681529,0.25224111,8.82228368,0.20085178,,,,,,,,,,,2009
RIX Rivera 2011-DOM,,,,,5,0,0,100,6,0,0,100,0.83333333,0.58878406,0.2628118,2.64236405,0.47163064,,,,,,,,,,,2009
RIX Steele 2008-ZAF,,,,,30,0,0,300,14,0,0,150,1.07142857,0.30783422,0.58604945,1.95880942,1.64898419,,,,,,,,,,,2008
RIX Steele 2010a-ZAF,,,,,17,0,0,50,12,0,0,50,1.41666667,0.31961987,0.75719327,2.65050485,1.53639249,,,,,,,,,,,
RIX Steele 2010b-ZAF,,,,,19,0,0,379,5,0,0,96,0.96253298,0.48946541,0.36879235,2.51217179,0.6771746,,,,,,,,,,,2007
RIX Zaman 2009-BGD,,,,,1,0,0,200,0,0,0,100,1.50746269,1.62843193,0.06196162,36.67501865,0.06260415,,,,,,,,,,,2009
Serious adverse events: intussusception,DIC,MH,Risk Ratio,Random,32,,,58302,29,,,48671,0.87492001,,0.52460922,1.45915283,100,3.09160205,0.92847809,0,0,0.51203665,0.60862536,1.41611849,0.49259935,0,8,
Low-mortality countries,DIC,MH,Risk Ratio,Random,11,,,12399,6,,,8374,1.42116751,,0.52251878,3.86534835,26.13109991,1.32644811,0.5151877,0,0,0.68849108,0.49114359,,,,2,
RIX Dennehy 2005-NA,,,,,0,0,0,421,0,0,0,108,0,0,0,0,0,,,,,,,,,,,2005
RIX GSK[041] 2007-KOR,,,,,0,0,0,103,0,0,0,52,0,0,0,0,0,,,,,,,,,,,2007
RIX Kawamura 2011-JPN,,,,,0,0,0,507,0,0,0,257,0,0,0,0,0,,,,,,,,,,,2011
RIX Kim 2012-KOR,,,,,0,0,0,508,0,0,0,176,0,0,0,0,0,,,,,,,,,,,2012
RIX Omenaca 2012-EU,,,,,0,0,0,670,0,0,0,339,0,0,0,0,0,,,,,,,,,,,2009
RIX Phua 2005-SGP,,,,,1,0,0,1811,1,0,0,653,0.36057427,1.41347672,0.0225861,5.75636458,3.40864537,,,,,,,,,,,2005
RIX Phua 2009-AS,,,,,8,0,0,5263,4,0,0,5256,1.99733992,0.61206187,0.60181634,6.62887749,18.17893702,,,,,,,,,,,2009
RIX Vesikari 2004b-FIN,,,,,0,0,0,270,0,0,0,135,0,0,0,0,0,,,,,,,,,,,2004
RIX Vesikari 2007a-EU,,,,,2,0,0,2646,1,0,0,1348,1.01889645,1.22428764,0.09247291,11.22653096,4.54351751,,,,,,,,,,,2007
RIX Vesikari 2011-FIN,,,,,0,0,0,200,0,0,0,50,0,0,0,0,0,,,,,,,,,,,2011
Medium-mortality countries,DIC,MH,Risk Ratio,Random,20,,,39519,23,,,36021,0.71854764,,0.39211573,1.31673042,71.31420554,0.34856841,0.98646698,0,0,1.06957316,0.2848115,,,,4,
RIX Li 2013b-CHN,,,,,0,0,0,25,0,0,0,25,0,0,0,0,0,,,,,,,,,,,2013
RIX Li 2014-CHN,,,,,1,0,0,1666,1,0,0,1667,1.00060024,1.41378919,0.06263846,15.98380398,3.40713878,,,,,,,,,,,2014
RIX NCT00158756-RUS,,,,,1,0,0,161,0,0,0,48,0.90740741,1.62483404,0.03756134,21.92116163,2.57953318,,,,,,,,,,,
RIX Ruiz-Palac 06-LA/EU,,,,,13,0,0,31673,20,0,0,31552,0.64751681,0.35617385,0.32216275,1.30144788,53.68279008,,,,,,,,,,,2006
RIX Salinas 2005-LA,,,,,1,0,0,1618,0,0,0,537,0.99691167,1.63223475,0.04067204,24.43528541,2.55619453,,,,,,,,,,,2005
RIX Tregnaghi 2011-LA,,,,,4,0,0,4376,2,0,0,2192,1.00182815,0.86562999,0.18364015,5.4653605,9.08854897,,,,,,,,,,,2011
High-mortality countries,DIC,MH,Risk Ratio,Random,1,,,6384,0,,,4276,1.49317975,,0.06086162,36.6336882,2.55469455,0,1,0,0,0.24554695,0.80603296,,,,0,
RIX Madhi 2010-AF,,,,,1,0,0,3298,0,0,0,1641,1.49317975,1.63271385,0.06086162,36.6336882,2.55469455,,,,,,,,,,,2010
RIX Rivera 2011-DOM,,,,,0,0,0,100,0,0,0,100,0,0,0,0,0,,,,,,,,,,,2009
RIX Steele 2008-ZAF,,,,,0,0,0,300,0,0,0,150,0,0,0,0,0,,,,,,,,,,,2008
RIX Steele 2010b-ZAF,,,,,0,0,0,379,0,0,0,96,0,0,0,0,0,,,,,,,,,,,2007
RIX Zaman 2017-BGD,,,,,0,0,0,2307,0,0,0,2289,0,0,0,0,0,,,,,,,,,,,2017
